Hinatuan | Lat: 9.776895, Lon: 125.715406 | -40.0m
Hope Downs | Lat: -22.955096, Lon: 119.123468 | 610.44m
Hotazel | Lat: -27.108570, Lon: 22.853360 | 1040.81m
Humphrey | Lat: 39.675324, Lon: -79.987193 | 313.92m
Hunter Valley Operations | Lat: -32.447559, Lon: 150.978595 | 71.28m
Illawarra | Lat: -34.473422, Lon: 150.741700 | 215.36m
ILO | Lat: -17.497439, Lon: -71.360126 | 28.52m
Iluka Virginia | Lat: 36.622107, Lon: -77.635559 | 71.71m
Iluka Western Australia | Lat: -30.753139, Lon: 115.536004 | 72.06m
IMMSA - Santa Eulalia | Lat: 28.603498, Lon: -105.816479 | 1234.16m
Impumelelo | Lat: -26.640736, Lon: 28.885431 | 1550.33m
Impunzi | Lat: -26.108148, Lon: 29.231264 | 1543.99m
Inaglinskiy | Lat: 56.962457, Lon: 124.780759 | 892.74m
Indiana Harbor | Lat: 41.654912, Lon: -87.449049 | 147.0m
Integra Coal | Lat: -32.464741, Lon: 151.130737 | 87.34m
Inyanda | Lat: -25.774464, Lon: 29.227063 | 1549.03m
Ipatinga | Lat: -19.486450, Lon: -42.543986 | 251.37m
Iron Valley | Lat: -22.715598, Lon: 119.328027 | 805.4m
ISAL | Lat: 64.046306, Lon: -22.033014 | 4.24m
Ishihuinca | Lat: -15.807464, Lon: -73.396702 | 1893.88m
Isibonelo | Lat: -26.435054, Lon: 29.210263 | 1598.85m
Itabira | Lat: -19.600876, Lon: -43.218155 | 744.07m
Itatiaiucu | Lat: -20.165713, Lon: -44.450055 | 1024.94m
Itmann No. 5 Mine | Lat: 37.573586, Lon: -81.417623 | 668.8m
Jabal Sayid | Lat: 23.851028, Lon: 40.942250 | 922.09m
Jacinth-Ambrosia | Lat: -30.908041, Lon: 132.222645 | 107.94m
Jaurdi | Lat: -30.726360, Lon: 120.939498 | 449.31m
Jerritt Canyon | Lat: 41.407595, Lon: -115.905483 | 1864.79m
Jimblebar | Lat: -23.369192, Lon: 120.061928 | 529.44m
Joao Monlevade | Lat: -19.828292, Lon: -43.129005 | 683.94m
Jones Fork Complex | Lat: 37.432385, Lon: -82.875603 | 274.86m
Jundee | Lat: -26.358560, Lon: 120.619935 | 568.26m
Jupiter | Lat: 37.941263, Lon: -81.687165 | 449.84m
Juruti | Lat: -2.169973, Lon: -56.097863 | 27.75m
Justice Energy | Lat: 37.503664, Lon: -81.486029 | 476.16m
Kabanga | Lat: -2.890192, Lon: 30.541259 | 1624.75m
Kachkanar GOK | Lat: 58.756583, Lon: 59.506246 | 334.81m
Kalgoorlie | Lat: -30.777633, Lon: 121.505596 | 386.44m
Kalgoorlie Smelter | Lat: -30.872768, Lon: 121.485955 | 381.48m
Kanawha Eagle | Lat: 38.158298, Lon: -81.554124 | 351.97m
Kangala | Lat: -26.187449, Lon: 28.671985 | 1580.28m
Kangalassky | Lat: 62.351460, Lon: 129.953809 | 110.74m
Kanowna Belle | Lat: -30.604925, Lon: 121.576084 | 380.36m
Karagaylinskoye | Lat: 54.139189, Lon: 86.598262 | 274.97m
Karakansky-South | Lat: 54.335544, Lon: 86.826050 | 308.17m
Karouni | Lat: 5.449733, Lon: -58.760099 | 70.62m
Kayad | Lat: 26.535460, Lon: 74.692239 | 362.25m
Kelian | Lat: -0.040833, Lon: 115.437974 | 127.41m
Kemmerer | Lat: 41.725888, Lon: -110.614272 | 2424.3m
Kensington | Lat: 58.849360, Lon: -135.057135 | 611.93m
Keystone | Lat: 37.449404, Lon: -81.436200 | 734.42m
Khutala | Lat: -26.123808, Lon: 29.004003 | 1622.55m
Khwezela | Lat: -26.049624, Lon: 29.236438 | 1537.42m
Kia-Shaltyr | Lat: 55.038586, Lon: 88.471295 | 670.19m
Kideco | Lat: -1.926560, Lon: 115.865002 | 69.69m
KIM BLOK | Lat: -1.408611, Lon: 101.725659 | 150.94m
Kindia | Lat: 9.882891, Lon: -13.131585 | 679.52m
Kintap | Lat: -3.861125, Lon: 115.186892 | -7.0m
Kiselevsky | Lat: 54.030791, Lon: 86.639414 | 303.75m
Klipspruit | Lat: -26.052754, Lon: 29.033432 | 1579.5m
Kloof | Lat: -26.402411, Lon: 27.660550 | 1624.28m
Knott County mines | Lat: 37.321494, Lon: -82.802833 | 295.59m
Koolan Island | Lat: -16.131541, Lon: 123.757360 | 116.45m
Koolyanobbing | Lat: -30.823879, Lon: 119.519238 | 348.87m
Koornfontein | Lat: -26.093899, Lon: 29.444992 | 1613.4m
Kopanang | Lat: -26.983194, Lon: 26.744955 | 1309.16m
Kostromovskaya | Lat: 54.598096, Lon: 86.059406 | 200.69m
Krasnogorsky | Lat: 53.628359, Lon: 87.954109 | 386.65m
Kriel | Lat: -26.207664, Lon: 29.166425 | 1581.81m
Kroondal | Lat: -25.713563, Lon: 27.319592 | 1601.65m
Kundana | Lat: -30.699491, Lon: 121.233817 | 362.84m
Kupol | Lat: 66.786835, Lon: 169.556637 | 463.51m
Kuprinsky | Lat: 54.242015, Lon: 86.865881 | 318.44m
Kuzbassrazrezugol | Lat: 55.553320, Lon: 86.092788 | 226.37m
Kwinana Alumina Refinery | Lat: -32.189306, Lon: 115.782938 | 14.44m
La Colorada | Lat: 28.804237, Lon: -110.573334 | 487.05m
La India | Lat: 28.705866, Lon: -108.889946 | 1317.96m
La Perla | Lat: 28.314736, Lon: -104.559293 | 1517.43m
Lake Erie Works | Lat: 42.821580, Lon: -80.088223 | 214.34m
Lawlers | Lat: -28.079162, Lon: 120.510804 | 444.11m
Leer | Lat: 39.346656, Lon: -79.950290 | 360.76m
Leer South/Sentinel | Lat: 39.199827, Lon: -80.058490 | 422.09m
Leeuwpan | Lat: -26.171270, Lon: 28.732743 | 1574.09m
Leinster | Lat: -27.818568, Lon: 120.700983 | 435.39m
Lennard Shelf | Lat: -18.320175, Lon: 125.778297 | 156.91m
Lidell | Lat: -32.407798, Lon: 151.034415 | 111.24m
Lista Aluminium Smelter | Lat: 58.073817, Lon: 6.786221 | 7.86m
Listvyazhnaya | Lat: 54.520805, Lon: 86.395523 | 132.9m
Logan County | Lat: 37.737110, Lon: -81.723222 | 468.51m
Loma de Niquel | Lat: 10.151667, Lon: -67.137778 | 1259.83m
Lone Mountain | Lat: 36.831110, Lon: -83.034176 | 486.86m
Long Canyon | Lat: 41.009998, Lon: -114.497299 | 2035.41m
Los Pelambres | Lat: -31.715691, Lon: -70.487484 | 3309.47m
Loulo - Gounkoto | Lat: 13.033710, Lon: -11.392011 | 104.58m
Lounge Lizard | Lat: -32.295384, Lon: 119.667075 | 425.34m
Loveridge | Lat: 39.604819, Lon: -80.284243 | 346.65m
Macraes | Lat: -45.359417, Lon: 170.428735 | 479.62m
Mafube | Lat: -25.793926, Lon: 29.739064 | 1588.34m
Mamahak | Lat: 0.461039, Lon: 115.408532 | 269.21m
Manantial Espejo | Lat: -48.793000, Lon: -69.494000 | 350.49m
Mandalong | Lat: -33.119643, Lon: 151.461839 | 14.31m
Mangoola | Lat: -32.294837, Lon: 150.706081 | 193.77m
Mantos Blancos | Lat: -23.442979, Lon: -70.074750 | 842.97m
Mariana | Lat: -20.162741, Lon: -43.495619 | 1013.36m
Martha | Lat: -48.692884, Lon: -69.701109 | 438.34m
Matla | Lat: -26.257166, Lon: 29.118970 | 1606.58m
Maules Creek | Lat: -30.562040, Lon: 150.124734 | 349.3m
MC Mining Complex | Lat: 37.591674, Lon: -82.492765 | 188.95m
McArthur River | Lat: -16.434456, Lon: 136.093658 | 41.45m
Meigs | Lat: 39.069172, Lon: -82.238552 | 205.77m
Merian | Lat: 5.124992, Lon: -54.549557 | 59.47m
Merlin | Lat: -16.852470, Lon: 136.337872 | 141.53m
MetCoal | Lat: -0.319707, Lon: 114.832429 | 85.24m
Metropolitan | Lat: -34.186841, Lon: 150.993049 | 193.45m
Mettiki Complex | Lat: 39.185892, Lon: -79.380452 | 990.03m
Meyerton Metalloys Smelter | Lat: -26.580908, Lon: 27.992275 | 1472.18m
Mezhdurechenskiy | Lat: 53.658481, Lon: 87.956381 | 359.85m
Miaogou & Sanguikou | Lat: 41.132294, Lon: 107.096516 | 1383.11m
MICARE Unit Mines Coahuila | Lat: 28.493397, Lon: -100.675156 | 302.59m
Michilla | Lat: -22.722671, Lon: -70.281239 | 1122.64m
Midas | Lat: 41.240460, Lon: -116.790662 | 1616.47m
Middelburg/Wolvekrans | Lat: -25.998696, Lon: 29.341545 | 1553.15m
Middleback Ranges | Lat: -32.744151, Lon: 137.135206 | 184.56m
Midland Trail | Lat: 38.353630, Lon: -81.456392 | 322.45m
Miguel Burnier | Lat: -20.438179, Lon: -43.771893 | 1150.68m
Miles Branch | Lat: 37.207723, Lon: -81.560821 | 562.59m
Mill Creek | Lat: 37.240148, Lon: -82.783427 | 426.14m
Miller Creek Complex | Lat: 37.687467, Lon: -82.155372 | 282.37m
Mimosa | Lat: -20.327907, Lon: 29.825327 | 1050.29m
MIMOSA Unit Mines | Lat: 27.923467, Lon: -101.359690 | 422.24m
Minas Centrais | Lat: -19.938222, Lon: -43.194359 | 783.23m
Minas Itabirito | Lat: -20.422453, Lon: -43.855344 | 1110.6m
Mine 84 | Lat: 40.142072, Lon: -80.177526 | 394.27m
Ministro Hales | Lat: -22.381904, Lon: -68.910437 | 2396.09m
Moab Khotsong | Lat: -26.987488, Lon: 26.802239 | 1328.43m
Moatize | Lat: -16.160978, Lon: 33.799692 | 221.17m
Modikwa | Lat: -24.640014, Lon: 30.128425 | 1109.7m
Mogalakwena | Lat: -23.971409, Lon: 28.913987 | 1110.81m
Moolarben | Lat: -32.281300, Lon: 149.763823 | 429.21m
Morila | Lat: 11.680900, Lon: -6.846886 | 351.56m
Morro da Mina | Lat: -20.633353, Lon: -43.769467 | 1161.37m
Morro do Felipe | Lat: -0.894843, Lon: -52.376796 | 41.66m
Morro Velho | Lat: -19.859417, Lon: -43.741911 | 1105.11m
Mosjoen Aluminium Smelter | Lat: 65.849215, Lon: 13.193472 | 580.07m
Mototolo | Lat: -24.994282, Lon: 30.123090 | 1109.7m
Mount Arthur | Lat: -32.322203, Lon: 150.865294 | 235.35m
Mount Garnet | Lat: -17.676126, Lon: 145.114437 | 637.67m
