Dynamic Energy | Lat: 37.497216, Lon: -81.454578 | Coal
Dzhebariki-Khaya | Lat: 62.195847, Lon: 135.872546 | Coal
Eagle | Lat: 46.742939, Lon: -87.880338 | Nickel
Eagle Pass | Lat: 28.813636, Lon: -100.459384 | Coal
East Boulder | Lat: 45.502628, Lon: -110.085632 | Other mine
Eastern Coalfields Limited | Lat: 23.844998, Lon: 87.058781 | Coal
Edgar Thomson Plant | Lat: 40.397180, Lon: -79.863702 | Processing
Edikan | Lat: 5.962441, Lon: -1.933145 | Gold
Edna May | Lat: -31.285881, Lon: 118.694946 | Gold
Eisenhüttenstadt steel plant | Lat: 52.162544, Lon: 14.631428 | Processing
Ekati | Lat: 64.716030, Lon: -110.618382 | Other mine
El Abra | Lat: -21.921632, Lon: -68.833515 | Copper
El Algarrobo | Lat: -28.812470, Lon: -70.988632 | Iron
El Arco | Lat: 28.029179, Lon: -113.399424 | Other mine
El Hatillo | Lat: 9.638629, Lon: -73.553081 | Coal
El Penon | Lat: -24.411448, Lon: -69.496551 | Gold
El Pilar | No coordinates. | Other mine
El Romeral | Lat: -29.721705, Lon: -71.233352 | Iron
El Sauzal | Lat: 26.997556, Lon: -107.889334 | Gold
El Segundo/Lee Ranch | Lat: 35.148060, Lon: -107.846975 | Coal
El Soldado | Lat: -32.652094, Lon: -71.164889 | Copper
El Teniente | Lat: -34.087365, Lon: -70.456652 | Copper
El Volcan | Lat: 27.740724, Lon: -109.305456 | Iron
Elang | Lat: -8.965226, Lon: 117.384107 | Other mine
Electrosteel Steels Limited | Lat: 23.634900, Lon: 86.305590 | Processing
Eleonore | Lat: 52.706088, Lon: -76.067833 | Gold
Elgaugol | Lat: 56.198780, Lon: 130.418056 | Coal
Ellen | Lat: 46.427798, Lon: -81.351722 | Nickel
Emery | Lat: 38.843956, Lon: -111.221784 | Coal
Empire | Lat: 46.447969, Lon: -87.608678 | Iron
Endeavor | Lat: -31.162619, Lon: 145.655204 | Silver
Energy Resources of Australia | Lat: -12.683952, Lon: 132.912683 | Other (poly)-metallic
Ensham | Lat: -23.476875, Lon: 148.525232 | Coal
Ergo | Lat: -26.276474, Lon: 28.374370 | Gold
Ernest Henry and Mount Isa | Lat: -20.170645, Lon: 142.350823 | Copper
Escobal | Lat: 14.468898, Lon: -90.165130 | Silver
Escondida | Lat: -24.270757, Lon: -69.071897 | Copper
Eskay Creek | Lat: 56.653934, Lon: -130.429281 | Gold
